geoName,distracted
Alabama,37
Alaska,88
Arizona,40
Arkansas,39
California,46
Colorado,46
Connecticut,65
Delaware,71
District of Columbia,39
Florida,39
Georgia,30
Hawaii,60
Idaho,56
Illinois,49
Indiana,62
Iowa,70
Kansas,38
Kentucky,60
Louisiana,35
Maine,51
Maryland,54
Massachusetts,46
Michigan,48
Minnesota,43
Mississippi,32
Missouri,47
Montana,64
Nebraska,49
Nevada,57
New Hampshire,61
New Jersey,42
New Mexico,30
New York,39
North Carolina,38
North Dakota,86
Ohio,46
Oklahoma,46
Oregon,28
Pennsylvania,51
Rhode Island,68
South Carolina,52
South Dakota,100
Tennessee,53
Texas,44
Utah,59
Vermont,65
Virginia,59
Washington,40
West Virginia,63
Wisconsin,45
Wyoming,42
