geoName,withdrawal
Alabama,67
Alaska,73
Arizona,68
Arkansas,64
California,55
Colorado,62
Connecticut,68
Delaware,71
District of Columbia,69
Florida,60
Georgia,62
Hawaii,57
Idaho,57
Illinois,61
Indiana,67
Iowa,52
Kansas,54
Kentucky,73
Louisiana,60
Maine,66
Maryland,70
Massachusetts,69
Michigan,68
Minnesota,62
Mississippi,55
Missouri,65
Montana,65
Nebraska,49
Nevada,61
New Hampshire,70
New Jersey,67
New Mexico,64
New York,68
North Carolina,63
North Dakota,58
Ohio,69
Oklahoma,61
Oregon,63
Pennsylvania,74
Rhode Island,73
South Carolina,63
South Dakota,53
Tennessee,63
Texas,52
Utah,61
Vermont,59
Virginia,66
Washington,68
West Virginia,100
Wisconsin,65
Wyoming,55
