date,withdrawal,isPartial
2016-01-03,98,False
2016-01-10,83,False
2016-01-17,86,False
2016-01-24,94,False
2016-01-31,95,False
2016-02-07,96,False
2016-02-14,94,False
2016-02-21,94,False
2016-02-28,95,False
2016-03-06,95,False
2016-03-13,94,False
2016-03-20,98,False
2016-03-27,100,False
2016-04-03,97,False
2016-04-10,100,False
2016-04-17,97,False
2016-04-24,96,False
2016-05-01,88,False
2016-05-08,93,False
2016-05-15,84,False
2016-05-22,86,False
2016-05-29,92,False
2016-06-05,90,False
2016-06-12,85,False
2016-06-19,89,False
2016-06-26,90,False
2016-07-03,94,False
2016-07-10,89,False
2016-07-17,87,False
2016-07-24,95,False
2016-07-31,91,False
2016-08-07,87,False
2016-08-14,86,False
2016-08-21,91,False
2016-08-28,90,False
2016-09-04,95,False
2016-09-11,91,False
2016-09-18,88,False
2016-09-25,92,False
2016-10-02,91,False
2016-10-09,91,False
2016-10-16,89,False
2016-10-23,87,False
2016-10-30,90,False
2016-11-06,80,False
2016-11-13,90,False
2016-11-20,75,False
2016-11-27,92,False
2016-12-04,86,False
2016-12-11,82,False
2016-12-18,77,False
2016-12-25,83,False
