geoName,withdrawal
Alabama,84
Alaska,76
Arizona,85
Arkansas,72
California,74
Colorado,84
Connecticut,81
Delaware,92
District of Columbia,85
Florida,78
Georgia,80
Hawaii,72
Idaho,88
Illinois,77
Indiana,82
Iowa,71
Kansas,69
Kentucky,88
Louisiana,80
Maine,93
Maryland,91
Massachusetts,88
Michigan,84
Minnesota,85
Mississippi,74
Missouri,81
Montana,80
Nebraska,75
Nevada,82
New Hampshire,87
New Jersey,84
New Mexico,78
New York,83
North Carolina,86
North Dakota,67
Ohio,86
Oklahoma,76
Oregon,50
Pennsylvania,100
Rhode Island,92
South Carolina,80
South Dakota,71
Tennessee,81
Texas,68
Utah,81
Vermont,82
Virginia,68
Washington,90
West Virginia,99
Wisconsin,85
Wyoming,86
