date,withdrawal,isPartial
2013-01-06,89,False
2013-01-13,90,False
2013-01-20,87,False
2013-01-27,89,False
2013-02-03,85,False
2013-02-10,91,False
2013-02-17,87,False
2013-02-24,86,False
2013-03-03,91,False
2013-03-10,90,False
2013-03-17,95,False
2013-03-24,90,False
2013-03-31,89,False
2013-04-07,100,False
2013-04-14,87,False
2013-04-21,87,False
2013-04-28,89,False
2013-05-05,87,False
2013-05-12,87,False
2013-05-19,82,False
2013-05-26,92,False
2013-06-02,88,False
2013-06-09,86,False
2013-06-16,83,False
2013-06-23,86,False
2013-06-30,81,False
2013-07-07,89,False
2013-07-14,89,False
2013-07-21,88,False
2013-07-28,88,False
2013-08-04,85,False
2013-08-11,87,False
2013-08-18,90,False
2013-08-25,90,False
2013-09-01,91,False
2013-09-08,85,False
2013-09-15,86,False
2013-09-22,86,False
2013-09-29,89,False
2013-10-06,85,False
2013-10-13,94,False
2013-10-20,88,False
2013-10-27,87,False
2013-11-03,91,False
2013-11-10,89,False
2013-11-17,88,False
2013-11-24,78,False
2013-12-01,86,False
2013-12-08,80,False
2013-12-15,81,False
2013-12-22,76,False
2013-12-29,95,False
