geoName,withdrawal
Alabama,80
Alaska,64
Arizona,79
Arkansas,68
California,71
Colorado,72
Connecticut,80
Delaware,80
District of Columbia,79
Florida,70
Georgia,72
Hawaii,62
Idaho,81
Illinois,72
Indiana,84
Iowa,68
Kansas,65
Kentucky,86
Louisiana,71
Maine,90
Maryland,84
Massachusetts,82
Michigan,79
Minnesota,80
Mississippi,80
Missouri,76
Montana,71
Nebraska,71
Nevada,75
New Hampshire,74
New Jersey,80
New Mexico,71
New York,75
North Carolina,76
North Dakota,69
Ohio,83
Oklahoma,77
Oregon,51
Pennsylvania,95
Rhode Island,80
South Carolina,76
South Dakota,72
Tennessee,84
Texas,62
Utah,74
Vermont,100
Virginia,81
Washington,90
West Virginia,92
Wisconsin,79
Wyoming,71
