geoName,withdrawal
Alabama,93
Alaska,82
Arizona,88
Arkansas,90
California,75
Colorado,85
Connecticut,100
Delaware,96
District of Columbia,91
Florida,84
Georgia,82
Hawaii,65
Idaho,73
Illinois,85
Indiana,85
Iowa,78
Kansas,82
Kentucky,86
Louisiana,91
Maine,86
Maryland,95
Massachusetts,97
Michigan,83
Minnesota,87
Mississippi,81
Missouri,83
Montana,81
Nebraska,77
Nevada,81
New Hampshire,87
New Jersey,90
New Mexico,90
New York,80
North Carolina,90
North Dakota,82
Ohio,94
Oklahoma,86
Oregon,92
Pennsylvania,100
Rhode Island,98
South Carolina,81
South Dakota,81
Tennessee,87
Texas,71
Utah,80
Vermont,85
Virginia,88
Washington,94
West Virginia,96
Wisconsin,83
Wyoming,58
