geoName,withdrawal
Alabama,74
Alaska,76
Arizona,79
Arkansas,77
California,68
Colorado,76
Connecticut,88
Delaware,94
District of Columbia,78
Florida,71
Georgia,71
Hawaii,57
Idaho,67
Illinois,66
Indiana,75
Iowa,68
Kansas,57
Kentucky,83
Louisiana,71
Maine,78
Maryland,85
Massachusetts,82
Michigan,79
Minnesota,69
Mississippi,65
Missouri,69
Montana,73
Nebraska,68
Nevada,74
New Hampshire,75
New Jersey,75
New Mexico,72
New York,72
North Carolina,75
North Dakota,70
Ohio,84
Oklahoma,70
Oregon,57
Pennsylvania,88
Rhode Island,83
South Carolina,77
South Dakota,72
Tennessee,74
Texas,62
Utah,71
Vermont,83
Virginia,53
Washington,77
West Virginia,100
Wisconsin,75
Wyoming,57
