geoName,withdrawal
Alabama,80
Alaska,96
Arizona,76
Arkansas,74
California,63
Colorado,73
Connecticut,84
Delaware,87
District of Columbia,79
Florida,73
Georgia,71
Hawaii,60
Idaho,78
Illinois,71
Indiana,74
Iowa,68
Kansas,86
Kentucky,80
Louisiana,71
Maine,73
Maryland,77
Massachusetts,86
Michigan,69
Minnesota,77
Mississippi,64
Missouri,72
Montana,67
Nebraska,65
Nevada,66
New Hampshire,92
New Jersey,82
New Mexico,76
New York,73
North Carolina,80
North Dakota,68
Ohio,81
Oklahoma,71
Oregon,79
Pennsylvania,86
Rhode Island,77
South Carolina,70
South Dakota,77
Tennessee,75
Texas,64
Utah,70
Vermont,78
Virginia,75
Washington,80
West Virginia,100
Wisconsin,78
Wyoming,60
