date,endure,isPartial
2011-01-02,45,False
2011-01-09,34,False
2011-01-16,43,False
2011-01-23,37,False
2011-01-30,58,False
2011-02-06,39,False
2011-02-13,54,False
2011-02-20,41,False
2011-02-27,62,False
2011-03-06,38,False
2011-03-13,63,False
2011-03-20,61,False
2011-03-27,53,False
2011-04-03,46,False
2011-04-10,59,False
2011-04-17,55,False
2011-04-24,67,False
2011-05-01,84,False
2011-05-08,100,False
2011-05-15,78,False
2011-05-22,67,False
2011-05-29,54,False
2011-06-05,74,False
2011-06-12,65,False
2011-06-19,70,False
2011-06-26,72,False
2011-07-03,63,False
2011-07-10,65,False
2011-07-17,57,False
2011-07-24,55,False
2011-07-31,49,False
2011-08-07,44,False
2011-08-14,61,False
2011-08-21,59,False
2011-08-28,51,False
2011-09-04,57,False
2011-09-11,66,False
2011-09-18,68,False
2011-09-25,53,False
2011-10-02,73,False
2011-10-09,60,False
2011-10-16,46,False
2011-10-23,62,False
2011-10-30,76,False
2011-11-06,51,False
2011-11-13,55,False
2011-11-20,42,False
2011-11-27,58,False
2011-12-04,57,False
2011-12-11,60,False
2011-12-18,61,False
2011-12-25,44,False
