geoName,endure
Alabama,38
Alaska,22
Arizona,45
Arkansas,33
California,50
Colorado,59
Connecticut,44
Delaware,70
District of Columbia,48
Florida,53
Georgia,58
Hawaii,46
Idaho,71
Illinois,55
Indiana,53
Iowa,36
Kansas,57
Kentucky,71
Louisiana,46
Maine,78
Maryland,49
Massachusetts,37
Michigan,51
Minnesota,38
Mississippi,100
Missouri,41
Montana,70
Nebraska,44
Nevada,52
New Hampshire,45
New Jersey,53
New Mexico,50
New York,53
North Carolina,57
North Dakota,67
Ohio,39
Oklahoma,45
Oregon,55
Pennsylvania,50
Rhode Island,36
South Carolina,45
South Dakota,71
Tennessee,55
Texas,54
Utah,78
Vermont,18
Virginia,60
Washington,51
West Virginia,66
Wisconsin,42
Wyoming,16
