date,endure,isPartial
2015-01-04,74,False
2015-01-11,76,False
2015-01-18,69,False
2015-01-25,70,False
2015-02-01,77,False
2015-02-08,88,False
2015-02-15,76,False
2015-02-22,80,False
2015-03-01,66,False
2015-03-08,74,False
2015-03-15,76,False
2015-03-22,75,False
2015-03-29,61,False
2015-04-05,67,False
2015-04-12,77,False
2015-04-19,75,False
2015-04-26,82,False
2015-05-03,81,False
2015-05-10,80,False
2015-05-17,66,False
2015-05-24,52,False
2015-05-31,52,False
2015-06-07,64,False
2015-06-14,54,False
2015-06-21,72,False
2015-06-28,66,False
2015-07-05,56,False
2015-07-12,51,False
2015-07-19,56,False
2015-07-26,48,False
2015-08-02,51,False
2015-08-09,53,False
2015-08-16,63,False
2015-08-23,65,False
2015-08-30,69,False
2015-09-06,79,False
2015-09-13,71,False
2015-09-20,83,False
2015-09-27,84,False
2015-10-04,70,False
2015-10-11,100,False
2015-10-18,63,False
2015-10-25,85,False
2015-11-01,68,False
2015-11-08,68,False
2015-11-15,84,False
2015-11-22,53,False
2015-11-29,78,False
2015-12-06,66,False
2015-12-13,70,False
2015-12-20,61,False
2015-12-27,62,False
