geoName,endure
Alabama,37
Alaska,65
Arizona,39
Arkansas,59
California,49
Colorado,29
Connecticut,49
Delaware,37
District of Columbia,71
Florida,65
Georgia,61
Hawaii,48
Idaho,64
Illinois,70
Indiana,69
Iowa,53
Kansas,58
Kentucky,69
Louisiana,53
Maine,50
Maryland,56
Massachusetts,42
Michigan,44
Minnesota,54
Mississippi,100
Missouri,56
Montana,66
Nebraska,30
Nevada,53
New Hampshire,62
New Jersey,49
New Mexico,50
New York,57
North Carolina,51
North Dakota,59
Ohio,49
Oklahoma,50
Oregon,39
Pennsylvania,43
Rhode Island,43
South Carolina,62
South Dakota,47
Tennessee,49
Texas,51
Utah,71
Vermont,84
Virginia,46
Washington,51
West Virginia,63
Wisconsin,53
Wyoming,39
