geoName,endure
Alabama,55
Alaska,68
Arizona,50
Arkansas,46
California,48
Colorado,53
Connecticut,50
Delaware,100
District of Columbia,52
Florida,51
Georgia,60
Hawaii,32
Idaho,47
Illinois,51
Indiana,55
Iowa,41
Kansas,62
Kentucky,58
Louisiana,58
Maine,33
Maryland,53
Massachusetts,38
Michigan,42
Minnesota,45
Mississippi,71
Missouri,43
Montana,66
Nebraska,36
Nevada,54
New Hampshire,41
New Jersey,43
New Mexico,63
New York,49
North Carolina,58
North Dakota,51
Ohio,45
Oklahoma,48
Oregon,34
Pennsylvania,49
Rhode Island,36
South Carolina,68
South Dakota,30
Tennessee,40
Texas,51
Utah,61
Vermont,20
Virginia,50
Washington,39
West Virginia,49
Wisconsin,42
Wyoming,12
