geoName,endure
Alabama,60
Alaska,51
Arizona,64
Arkansas,54
California,52
Colorado,39
Connecticut,51
Delaware,63
District of Columbia,48
Florida,59
Georgia,57
Hawaii,53
Idaho,68
Illinois,55
Indiana,60
Iowa,32
Kansas,40
Kentucky,42
Louisiana,66
Maine,54
Maryland,40
Massachusetts,40
Michigan,57
Minnesota,50
Mississippi,100
Missouri,49
Montana,43
Nebraska,44
Nevada,43
New Hampshire,30
New Jersey,48
New Mexico,66
New York,49
North Carolina,67
North Dakota,49
Ohio,45
Oklahoma,43
Oregon,32
Pennsylvania,42
Rhode Island,64
South Carolina,65
South Dakota,69
Tennessee,49
Texas,60
Utah,61
Vermont,48
Virginia,40
Washington,31
West Virginia,27
Wisconsin,44
Wyoming,36
