geoName,pain
Alabama,88
Alaska,72
Arizona,77
Arkansas,89
California,67
Colorado,72
Connecticut,82
Delaware,88
District of Columbia,72
Florida,74
Georgia,81
Hawaii,71
Idaho,78
Illinois,77
Indiana,83
Iowa,76
Kansas,82
Kentucky,96
Louisiana,88
Maine,83
Maryland,79
Massachusetts,79
Michigan,81
Minnesota,80
Mississippi,91
Missouri,83
Montana,71
Nebraska,78
Nevada,75
New Hampshire,79
New Jersey,80
New Mexico,75
New York,76
North Carolina,80
North Dakota,75
Ohio,86
Oklahoma,89
Oregon,49
Pennsylvania,86
Rhode Island,85
South Carolina,82
South Dakota,75
Tennessee,92
Texas,76
Utah,73
Vermont,70
Virginia,80
Washington,74
West Virginia,100
Wisconsin,80
Wyoming,76
