geoName,pain
Alabama,89
Alaska,78
Arizona,81
Arkansas,90
California,68
Colorado,76
Connecticut,80
Delaware,83
District of Columbia,86
Florida,78
Georgia,83
Hawaii,71
Idaho,73
Illinois,82
Indiana,83
Iowa,75
Kansas,80
Kentucky,100
Louisiana,89
Maine,79
Maryland,82
Massachusetts,84
Michigan,79
Minnesota,78
Mississippi,95
Missouri,83
Montana,78
Nebraska,78
Nevada,73
New Hampshire,82
New Jersey,77
New Mexico,77
New York,79
North Carolina,86
North Dakota,75
Ohio,86
Oklahoma,87
Oregon,73
Pennsylvania,88
Rhode Island,84
South Carolina,82
South Dakota,76
Tennessee,92
Texas,77
Utah,73
Vermont,79
Virginia,84
Washington,75
West Virginia,98
Wisconsin,82
Wyoming,75
