geoName,pain
Alabama,88
Alaska,75
Arizona,76
Arkansas,87
California,65
Colorado,71
Connecticut,74
Delaware,83
District of Columbia,78
Florida,78
Georgia,79
Hawaii,70
Idaho,76
Illinois,76
Indiana,79
Iowa,79
Kansas,65
Kentucky,98
Louisiana,81
Maine,81
Maryland,76
Massachusetts,76
Michigan,82
Minnesota,75
Mississippi,90
Missouri,80
Montana,79
Nebraska,82
Nevada,73
New Hampshire,80
New Jersey,73
New Mexico,76
New York,74
North Carolina,80
North Dakota,80
Ohio,81
Oklahoma,83
Oregon,59
Pennsylvania,84
Rhode Island,79
South Carolina,87
South Dakota,82
Tennessee,90
Texas,71
Utah,72
Vermont,74
Virginia,55
Washington,71
West Virginia,100
Wisconsin,79
Wyoming,74
