geoName,pain
Alabama,87
Alaska,76
Arizona,79
Arkansas,85
California,65
Colorado,71
Connecticut,76
Delaware,90
District of Columbia,82
Florida,79
Georgia,82
Hawaii,71
Idaho,75
Illinois,80
Indiana,82
Iowa,79
Kansas,75
Kentucky,97
Louisiana,84
Maine,80
Maryland,80
Massachusetts,78
Michigan,78
Minnesota,75
Mississippi,85
Missouri,78
Montana,78
Nebraska,75
Nevada,72
New Hampshire,78
New Jersey,80
New Mexico,75
New York,80
North Carolina,87
North Dakota,77
Ohio,84
Oklahoma,86
Oregon,74
Pennsylvania,90
Rhode Island,83
South Carolina,86
South Dakota,77
Tennessee,91
Texas,75
Utah,72
Vermont,76
Virginia,86
Washington,75
West Virginia,100
Wisconsin,78
Wyoming,74
