geoName,pain
Alabama,92
Alaska,79
Arizona,84
Arkansas,88
California,69
Colorado,74
Connecticut,78
Delaware,84
District of Columbia,78
Florida,79
Georgia,84
Hawaii,71
Idaho,81
Illinois,81
Indiana,85
Iowa,81
Kansas,81
Kentucky,96
Louisiana,91
Maine,84
Maryland,81
Massachusetts,83
Michigan,84
Minnesota,80
Mississippi,98
Missouri,84
Montana,82
Nebraska,80
Nevada,78
New Hampshire,81
New Jersey,79
New Mexico,81
New York,76
North Carolina,84
North Dakota,82
Ohio,86
Oklahoma,91
Oregon,48
Pennsylvania,89
Rhode Island,83
South Carolina,87
South Dakota,79
Tennessee,97
Texas,74
Utah,78
Vermont,78
Virginia,66
Washington,75
West Virginia,100
Wisconsin,79
Wyoming,84
