date,pain,isPartial
2012-01-01,95,False
2012-01-08,94,False
2012-01-15,96,False
2012-01-22,97,False
2012-01-29,94,False
2012-02-05,93,False
2012-02-12,87,False
2012-02-19,99,False
2012-02-26,97,False
2012-03-04,95,False
2012-03-11,98,False
2012-03-18,92,False
2012-03-25,94,False
2012-04-01,94,False
2012-04-08,96,False
2012-04-15,97,False
2012-04-22,98,False
2012-04-29,97,False
2012-05-06,93,False
2012-05-13,96,False
2012-05-20,96,False
2012-05-27,96,False
2012-06-03,99,False
2012-06-10,93,False
2012-06-17,99,False
2012-06-24,95,False
2012-07-01,94,False
2012-07-08,100,False
2012-07-15,99,False
2012-07-22,99,False
2012-07-29,96,False
2012-08-05,95,False
2012-08-12,98,False
2012-08-19,99,False
2012-08-26,98,False
2012-09-02,98,False
2012-09-09,97,False
2012-09-16,97,False
2012-09-23,99,False
2012-09-30,99,False
2012-10-07,96,False
2012-10-14,96,False
2012-10-21,92,False
2012-10-28,87,False
2012-11-04,90,False
2012-11-11,93,False
2012-11-18,89,False
2012-11-25,93,False
2012-12-02,95,False
2012-12-09,93,False
2012-12-16,89,False
2012-12-23,88,False
2012-12-30,98,False
