geoName,fragile
Alabama,76
Alaska,64
Arizona,73
Arkansas,92
California,77
Colorado,71
Connecticut,83
Delaware,100
District of Columbia,68
Florida,69
Georgia,68
Hawaii,73
Idaho,95
Illinois,72
Indiana,76
Iowa,69
Kansas,52
Kentucky,80
Louisiana,79
Maine,73
Maryland,84
Massachusetts,90
Michigan,80
Minnesota,68
Mississippi,70
Missouri,81
Montana,87
Nebraska,76
Nevada,71
New Hampshire,70
New Jersey,74
New Mexico,86
New York,79
North Carolina,65
North Dakota,44
Ohio,87
Oklahoma,59
Oregon,62
Pennsylvania,84
Rhode Island,55
South Carolina,77
South Dakota,66
Tennessee,77
Texas,66
Utah,90
Vermont,64
Virginia,57
Washington,71
West Virginia,58
Wisconsin,87
Wyoming,94
