geoName,fragile
Alabama,47
Alaska,75
Arizona,88
Arkansas,48
California,71
Colorado,87
Connecticut,69
Delaware,38
District of Columbia,63
Florida,53
Georgia,54
Hawaii,52
Idaho,71
Illinois,56
Indiana,64
Iowa,45
Kansas,72
Kentucky,56
Louisiana,59
Maine,67
Maryland,60
Massachusetts,58
Michigan,58
Minnesota,45
Mississippi,60
Missouri,84
Montana,56
Nebraska,78
Nevada,75
New Hampshire,78
New Jersey,57
New Mexico,100
New York,59
North Carolina,53
North Dakota,59
Ohio,65
Oklahoma,56
Oregon,41
Pennsylvania,59
Rhode Island,95
South Carolina,45
South Dakota,66
Tennessee,51
Texas,58
Utah,65
Vermont,52
Virginia,50
Washington,59
West Virginia,55
Wisconsin,61
Wyoming,68
