geoName,fragile
Alabama,75
Alaska,61
Arizona,61
Arkansas,80
California,65
Colorado,76
Connecticut,71
Delaware,88
District of Columbia,76
Florida,67
Georgia,68
Hawaii,56
Idaho,67
Illinois,70
Indiana,77
Iowa,71
Kansas,71
Kentucky,90
Louisiana,48
Maine,84
Maryland,75
Massachusetts,85
Michigan,75
Minnesota,66
Mississippi,46
Missouri,89
Montana,57
Nebraska,76
Nevada,64
New Hampshire,52
New Jersey,87
New Mexico,71
New York,78
North Carolina,69
North Dakota,94
Ohio,70
Oklahoma,80
Oregon,74
Pennsylvania,84
Rhode Island,61
South Carolina,75
South Dakota,77
Tennessee,56
Texas,58
Utah,58
Vermont,100
Virginia,69
Washington,69
West Virginia,85
Wisconsin,85
Wyoming,57
