date,fragile,isPartial
2016-01-03,75,False
2016-01-10,78,False
2016-01-17,78,False
2016-01-24,91,False
2016-01-31,75,False
2016-02-07,84,False
2016-02-14,68,False
2016-02-21,100,False
2016-02-28,77,False
2016-03-06,82,False
2016-03-13,82,False
2016-03-20,85,False
2016-03-27,85,False
2016-04-03,79,False
2016-04-10,87,False
2016-04-17,90,False
2016-04-24,81,False
2016-05-01,75,False
2016-05-08,76,False
2016-05-15,81,False
2016-05-22,79,False
2016-05-29,65,False
2016-06-05,72,False
2016-06-12,70,False
2016-06-19,66,False
2016-06-26,73,False
2016-07-03,67,False
2016-07-10,69,False
2016-07-17,74,False
2016-07-24,76,False
2016-07-31,68,False
2016-08-07,56,False
2016-08-14,65,False
2016-08-21,64,False
2016-08-28,67,False
2016-09-04,65,False
2016-09-11,80,False
2016-09-18,72,False
2016-09-25,81,False
2016-10-02,75,False
2016-10-09,74,False
2016-10-16,70,False
2016-10-23,74,False
2016-10-30,74,False
2016-11-06,69,False
2016-11-13,91,False
2016-11-20,55,False
2016-11-27,83,False
2016-12-04,96,False
2016-12-11,95,False
2016-12-18,89,False
2016-12-25,66,False
