date,fragile,isPartial
2013-01-06,66,False
2013-01-13,71,False
2013-01-20,77,False
2013-01-27,92,False
2013-02-03,100,False
2013-02-10,87,False
2013-02-17,78,False
2013-02-24,81,False
2013-03-03,84,False
2013-03-10,74,False
2013-03-17,75,False
2013-03-24,72,False
2013-03-31,75,False
2013-04-07,79,False
2013-04-14,79,False
2013-04-21,86,False
2013-04-28,76,False
2013-05-05,71,False
2013-05-12,72,False
2013-05-19,72,False
2013-05-26,55,False
2013-06-02,75,False
2013-06-09,68,False
2013-06-16,69,False
2013-06-23,67,False
2013-06-30,66,False
2013-07-07,67,False
2013-07-14,86,False
2013-07-21,87,False
2013-07-28,89,False
2013-08-04,81,False
2013-08-11,80,False
2013-08-18,78,False
2013-08-25,84,False
2013-09-01,67,False
2013-09-08,76,False
2013-09-15,81,False
2013-09-22,77,False
2013-09-29,82,False
2013-10-06,76,False
2013-10-13,87,False
2013-10-20,86,False
2013-10-27,80,False
2013-11-03,80,False
2013-11-10,79,False
2013-11-17,83,False
2013-11-24,67,False
2013-12-01,81,False
2013-12-08,80,False
2013-12-15,92,False
2013-12-22,91,False
2013-12-29,63,False
