geoName,fragile
Alabama,75
Alaska,91
Arizona,81
Arkansas,78
California,80
Colorado,75
Connecticut,76
Delaware,77
District of Columbia,85
Florida,71
Georgia,71
Hawaii,85
Idaho,48
Illinois,67
Indiana,78
Iowa,73
Kansas,92
Kentucky,85
Louisiana,60
Maine,79
Maryland,85
Massachusetts,90
Michigan,67
Minnesota,72
Mississippi,64
Missouri,72
Montana,91
Nebraska,86
Nevada,73
New Hampshire,68
New Jersey,87
New Mexico,91
New York,75
North Carolina,70
North Dakota,73
Ohio,78
Oklahoma,65
Oregon,78
Pennsylvania,75
Rhode Island,77
South Carolina,65
South Dakota,93
Tennessee,72
Texas,65
Utah,59
Vermont,100
Virginia,83
Washington,76
West Virginia,96
Wisconsin,79
Wyoming,74
