date,fragile,isPartial
2011-01-02,77,False
2011-01-09,83,False
2011-01-16,70,False
2011-01-23,87,False
2011-01-30,80,False
2011-02-06,79,False
2011-02-13,87,False
2011-02-20,80,False
2011-02-27,88,False
2011-03-06,81,False
2011-03-13,85,False
2011-03-20,87,False
2011-03-27,81,False
2011-04-03,100,False
2011-04-10,81,False
2011-04-17,87,False
2011-04-24,87,False
2011-05-01,78,False
2011-05-08,80,False
2011-05-15,89,False
2011-05-22,87,False
2011-05-29,76,False
2011-06-05,86,False
2011-06-12,95,False
2011-06-19,87,False
2011-06-26,72,False
2011-07-03,83,False
2011-07-10,77,False
2011-07-17,82,False
2011-07-24,71,False
2011-07-31,75,False
2011-08-07,77,False
2011-08-14,67,False
2011-08-21,90,False
2011-08-28,81,False
2011-09-04,69,False
2011-09-11,69,False
2011-09-18,88,False
2011-09-25,87,False
2011-10-02,71,False
2011-10-09,71,False
2011-10-16,85,False
2011-10-23,95,False
2011-10-30,79,False
2011-11-06,83,False
2011-11-13,89,False
2011-11-20,81,False
2011-11-27,99,False
2011-12-04,90,False
2011-12-11,91,False
2011-12-18,82,False
2011-12-25,83,False
