geoName,fragile
Alabama,70
Alaska,46
Arizona,59
Arkansas,44
California,57
Colorado,63
Connecticut,69
Delaware,68
District of Columbia,61
Florida,57
Georgia,61
Hawaii,46
Idaho,69
Illinois,58
Indiana,63
Iowa,71
Kansas,64
Kentucky,75
Louisiana,51
Maine,88
Maryland,64
Massachusetts,67
Michigan,56
Minnesota,61
Mississippi,47
Missouri,72
Montana,57
Nebraska,60
Nevada,45
New Hampshire,46
New Jersey,75
New Mexico,55
New York,67
North Carolina,63
North Dakota,52
Ohio,69
Oklahoma,50
Oregon,56
Pennsylvania,66
Rhode Island,70
South Carolina,68
South Dakota,80
Tennessee,74
Texas,51
Utah,56
Vermont,73
Virginia,57
Washington,59
West Virginia,51
Wisconsin,66
Wyoming,100
