date,hot-line,isPartial
2015-01-04,0,False
2015-01-11,0,False
2015-01-18,0,False
2015-01-25,47,False
2015-02-01,92,False
2015-02-08,0,False
2015-02-15,0,False
2015-02-22,0,False
2015-03-01,46,False
2015-03-08,0,False
2015-03-15,47,False
2015-03-22,0,False
2015-03-29,0,False
2015-04-05,0,False
2015-04-12,48,False
2015-04-19,48,False
2015-04-26,0,False
2015-05-03,0,False
2015-05-10,0,False
2015-05-17,0,False
2015-05-24,0,False
2015-05-31,0,False
2015-06-07,0,False
2015-06-14,0,False
2015-06-21,0,False
2015-06-28,0,False
2015-07-05,0,False
2015-07-12,0,False
2015-07-19,0,False
2015-07-26,0,False
2015-08-02,0,False
2015-08-09,0,False
2015-08-16,0,False
2015-08-23,50,False
2015-08-30,49,False
2015-09-06,0,False
2015-09-13,0,False
2015-09-20,0,False
2015-09-27,0,False
2015-10-04,0,False
2015-10-11,95,False
2015-10-18,46,False
2015-10-25,0,False
2015-11-01,0,False
2015-11-08,46,False
2015-11-15,92,False
2015-11-22,0,False
2015-11-29,90,False
2015-12-06,0,False
2015-12-13,47,False
2015-12-20,0,False
2015-12-27,100,False
