date,hot-line,isPartial
2012-01-01,0,False
2012-01-08,34,False
2012-01-15,34,False
2012-01-22,0,False
2012-01-29,33,False
2012-02-05,0,False
2012-02-12,0,False
2012-02-19,0,False
2012-02-26,0,False
2012-03-04,0,False
2012-03-11,0,False
2012-03-18,0,False
2012-03-25,0,False
2012-04-01,34,False
2012-04-08,34,False
2012-04-15,0,False
2012-04-22,0,False
2012-04-29,65,False
2012-05-06,33,False
2012-05-13,33,False
2012-05-20,0,False
2012-05-27,35,False
2012-06-03,34,False
2012-06-10,0,False
2012-06-17,0,False
2012-06-24,100,False
2012-07-01,35,False
2012-07-08,66,False
2012-07-15,0,False
2012-07-22,33,False
2012-07-29,33,False
2012-08-05,32,False
2012-08-12,0,False
2012-08-19,0,False
2012-08-26,0,False
2012-09-02,0,False
2012-09-09,31,False
2012-09-16,0,False
2012-09-23,0,False
2012-09-30,0,False
2012-10-07,0,False
2012-10-14,0,False
2012-10-21,0,False
2012-10-28,30,False
2012-11-04,0,False
2012-11-11,0,False
2012-11-18,0,False
2012-11-25,0,False
2012-12-02,29,False
2012-12-09,0,False
2012-12-16,30,False
2012-12-23,0,False
2012-12-30,0,False
