date,hot-line,isPartial
2011-01-02,0,False
2011-01-09,52,False
2011-01-16,0,False
2011-01-23,0,False
2011-01-30,0,False
2011-02-06,100,False
2011-02-13,0,False
2011-02-20,0,False
2011-02-27,0,False
2011-03-06,50,False
2011-03-13,0,False
2011-03-20,50,False
2011-03-27,0,False
2011-04-03,50,False
2011-04-10,0,False
2011-04-17,0,False
2011-04-24,0,False
2011-05-01,50,False
2011-05-08,0,False
2011-05-15,0,False
2011-05-22,51,False
2011-05-29,53,False
2011-06-05,0,False
2011-06-12,52,False
2011-06-19,0,False
2011-06-26,52,False
2011-07-03,0,False
2011-07-10,50,False
2011-07-17,0,False
2011-07-24,0,False
2011-07-31,49,False
2011-08-07,0,False
2011-08-14,0,False
2011-08-21,0,False
2011-08-28,0,False
2011-09-04,0,False
2011-09-11,46,False
2011-09-18,0,False
2011-09-25,0,False
2011-10-02,0,False
2011-10-09,45,False
2011-10-16,45,False
2011-10-23,0,False
2011-10-30,0,False
2011-11-06,0,False
2011-11-13,43,False
2011-11-20,0,False
2011-11-27,42,False
2011-12-04,0,False
2011-12-11,42,False
2011-12-18,0,False
2011-12-25,46,False
