geoName,abnormal
Alabama,89
Alaska,64
Arizona,71
Arkansas,89
California,60
Colorado,61
Connecticut,68
Delaware,95
District of Columbia,58
Florida,74
Georgia,75
Hawaii,67
Idaho,76
Illinois,70
Indiana,80
Iowa,73
Kansas,80
Kentucky,91
Louisiana,77
Maine,63
Maryland,75
Massachusetts,62
Michigan,80
Minnesota,67
Mississippi,93
Missouri,70
Montana,84
Nebraska,65
Nevada,66
New Hampshire,61
New Jersey,71
New Mexico,75
New York,67
North Carolina,79
North Dakota,84
Ohio,79
Oklahoma,75
Oregon,42
Pennsylvania,81
Rhode Island,64
South Carolina,89
South Dakota,96
Tennessee,93
Texas,70
Utah,57
Vermont,44
Virginia,70
Washington,57
West Virginia,100
Wisconsin,70
Wyoming,47
