date,abnormal,isPartial
2015-01-04,82,False
2015-01-11,80,False
2015-01-18,92,False
2015-01-25,88,False
2015-02-01,91,False
2015-02-08,91,False
2015-02-15,84,False
2015-02-22,93,False
2015-03-01,93,False
2015-03-08,89,False
2015-03-15,90,False
2015-03-22,93,False
2015-03-29,89,False
2015-04-05,84,False
2015-04-12,99,False
2015-04-19,94,False
2015-04-26,93,False
2015-05-03,88,False
2015-05-10,79,False
2015-05-17,82,False
2015-05-24,80,False
2015-05-31,88,False
2015-06-07,86,False
2015-06-14,79,False
2015-06-21,82,False
2015-06-28,75,False
2015-07-05,74,False
2015-07-12,82,False
2015-07-19,82,False
2015-07-26,79,False
2015-08-02,77,False
2015-08-09,74,False
2015-08-16,72,False
2015-08-23,96,False
2015-08-30,93,False
2015-09-06,84,False
2015-09-13,97,False
2015-09-20,94,False
2015-09-27,99,False
2015-10-04,99,False
2015-10-11,87,False
2015-10-18,92,False
2015-10-25,91,False
2015-11-01,89,False
2015-11-08,100,False
2015-11-15,98,False
2015-11-22,71,False
2015-11-29,96,False
2015-12-06,96,False
2015-12-13,85,False
2015-12-20,59,False
2015-12-27,62,False
