date,abnormal,isPartial
2011-01-02,75,False
2011-01-09,80,False
2011-01-16,86,False
2011-01-23,90,False
2011-01-30,83,False
2011-02-06,88,False
2011-02-13,85,False
2011-02-20,82,False
2011-02-27,87,False
2011-03-06,88,False
2011-03-13,84,False
2011-03-20,88,False
2011-03-27,91,False
2011-04-03,93,False
2011-04-10,88,False
2011-04-17,88,False
2011-04-24,84,False
2011-05-01,78,False
2011-05-08,79,False
2011-05-15,87,False
2011-05-22,75,False
2011-05-29,67,False
2011-06-05,75,False
2011-06-12,73,False
2011-06-19,83,False
2011-06-26,77,False
2011-07-03,69,False
2011-07-10,74,False
2011-07-17,80,False
2011-07-24,69,False
2011-07-31,67,False
2011-08-07,73,False
2011-08-14,82,False
2011-08-21,90,False
2011-08-28,87,False
2011-09-04,77,False
2011-09-11,88,False
2011-09-18,93,False
2011-09-25,95,False
2011-10-02,94,False
2011-10-09,95,False
2011-10-16,100,False
2011-10-23,98,False
2011-10-30,90,False
2011-11-06,92,False
2011-11-13,99,False
2011-11-20,71,False
2011-11-27,85,False
2011-12-04,86,False
2011-12-11,82,False
2011-12-18,57,False
2011-12-25,56,False
