date,abnormal,isPartial
2012-01-01,65,False
2012-01-08,81,False
2012-01-15,95,False
2012-01-22,92,False
2012-01-29,98,False
2012-02-05,90,False
2012-02-12,86,False
2012-02-19,97,False
2012-02-26,93,False
2012-03-04,99,False
2012-03-11,90,False
2012-03-18,86,False
2012-03-25,87,False
2012-04-01,88,False
2012-04-08,90,False
2012-04-15,96,False
2012-04-22,88,False
2012-04-29,92,False
2012-05-06,89,False
2012-05-13,88,False
2012-05-20,78,False
2012-05-27,77,False
2012-06-03,76,False
2012-06-10,87,False
2012-06-17,88,False
2012-06-24,72,False
2012-07-01,64,False
2012-07-08,76,False
2012-07-15,80,False
2012-07-22,83,False
2012-07-29,74,False
2012-08-05,80,False
2012-08-12,79,False
2012-08-19,85,False
2012-08-26,91,False
2012-09-02,79,False
2012-09-09,100,False
2012-09-16,89,False
2012-09-23,92,False
2012-09-30,97,False
2012-10-07,98,False
2012-10-14,87,False
2012-10-21,97,False
2012-10-28,88,False
2012-11-04,82,False
2012-11-11,89,False
2012-11-18,70,False
2012-11-25,95,False
2012-12-02,88,False
2012-12-09,92,False
2012-12-16,80,False
2012-12-23,50,False
2012-12-30,56,False
