date,abnormal,isPartial
2016-01-03,72,False
2016-01-10,87,False
2016-01-17,84,False
2016-01-24,97,False
2016-01-31,100,False
2016-02-07,96,False
2016-02-14,89,False
2016-02-21,95,False
2016-02-28,97,False
2016-03-06,91,False
2016-03-13,95,False
2016-03-20,91,False
2016-03-27,93,False
2016-04-03,95,False
2016-04-10,93,False
2016-04-17,95,False
2016-04-24,92,False
2016-05-01,89,False
2016-05-08,90,False
2016-05-15,85,False
2016-05-22,85,False
2016-05-29,70,False
2016-06-05,72,False
2016-06-12,79,False
2016-06-19,75,False
2016-06-26,73,False
2016-07-03,64,False
2016-07-10,76,False
2016-07-17,73,False
2016-07-24,78,False
2016-07-31,67,False
2016-08-07,71,False
2016-08-14,70,False
2016-08-21,76,False
2016-08-28,82,False
2016-09-04,81,False
2016-09-11,89,False
2016-09-18,85,False
2016-09-25,87,False
2016-10-02,90,False
2016-10-09,85,False
2016-10-16,84,False
2016-10-23,92,False
2016-10-30,89,False
2016-11-06,79,False
2016-11-13,88,False
2016-11-20,63,False
2016-11-27,88,False
2016-12-04,98,False
2016-12-11,87,False
2016-12-18,66,False
2016-12-25,57,False
