geoName,disorder
Alabama,71
Alaska,85
Arizona,65
Arkansas,72
California,57
Colorado,65
Connecticut,82
Delaware,88
District of Columbia,55
Florida,64
Georgia,64
Hawaii,56
Idaho,77
Illinois,70
Indiana,85
Iowa,78
Kansas,78
Kentucky,80
Louisiana,74
Maine,94
Maryland,77
Massachusetts,76
Michigan,72
Minnesota,76
Mississippi,80
Missouri,72
Montana,75
Nebraska,74
Nevada,56
New Hampshire,85
New Jersey,68
New Mexico,75
New York,64
North Carolina,68
North Dakota,76
Ohio,77
Oklahoma,73
Oregon,73
Pennsylvania,81
Rhode Island,86
South Carolina,73
South Dakota,100
Tennessee,75
Texas,54
Utah,72
Vermont,90
Virginia,74
Washington,67
West Virginia,86
Wisconsin,76
Wyoming,76
