geoName,disorder
Alabama,72
Alaska,69
Arizona,67
Arkansas,82
California,61
Colorado,68
Connecticut,82
Delaware,77
District of Columbia,58
Florida,65
Georgia,63
Hawaii,56
Idaho,76
Illinois,67
Indiana,85
Iowa,85
Kansas,77
Kentucky,82
Louisiana,69
Maine,100
Maryland,79
Massachusetts,79
Michigan,74
Minnesota,81
Mississippi,81
Missouri,74
Montana,87
Nebraska,73
Nevada,59
New Hampshire,94
New Jersey,72
New Mexico,76
New York,69
North Carolina,72
North Dakota,99
Ohio,75
Oklahoma,77
Oregon,77
Pennsylvania,85
Rhode Island,86
South Carolina,72
South Dakota,83
Tennessee,75
Texas,57
Utah,81
Vermont,89
Virginia,75
Washington,67
West Virginia,93
Wisconsin,77
Wyoming,79
