geoName,disorder
Alabama,79
Alaska,73
Arizona,66
Arkansas,87
California,60
Colorado,71
Connecticut,85
Delaware,85
District of Columbia,67
Florida,63
Georgia,59
Hawaii,59
Idaho,83
Illinois,68
Indiana,85
Iowa,84
Kansas,74
Kentucky,80
Louisiana,72
Maine,95
Maryland,72
Massachusetts,78
Michigan,77
Minnesota,81
Mississippi,74
Missouri,75
Montana,93
Nebraska,74
Nevada,63
New Hampshire,93
New Jersey,71
New Mexico,85
New York,68
North Carolina,76
North Dakota,90
Ohio,78
Oklahoma,68
Oregon,49
Pennsylvania,87
Rhode Island,85
South Carolina,75
South Dakota,90
Tennessee,74
Texas,58
Utah,74
Vermont,100
Virginia,73
Washington,72
West Virginia,95
Wisconsin,80
Wyoming,72
