geoName,disorder
Alabama,71
Alaska,65
Arizona,69
Arkansas,83
California,60
Colorado,67
Connecticut,87
Delaware,79
District of Columbia,61
Florida,62
Georgia,64
Hawaii,62
Idaho,75
Illinois,67
Indiana,79
Iowa,78
Kansas,68
Kentucky,78
Louisiana,65
Maine,100
Maryland,75
Massachusetts,80
Michigan,73
Minnesota,83
Mississippi,77
Missouri,78
Montana,81
Nebraska,75
Nevada,57
New Hampshire,85
New Jersey,73
New Mexico,71
New York,70
North Carolina,72
North Dakota,78
Ohio,75
Oklahoma,77
Oregon,73
Pennsylvania,81
Rhode Island,82
South Carolina,69
South Dakota,88
Tennessee,70
Texas,56
Utah,70
Vermont,93
Virginia,70
Washington,70
West Virginia,88
Wisconsin,78
Wyoming,77
