geoName,disorder
Alabama,71
Alaska,80
Arizona,68
Arkansas,88
California,60
Colorado,66
Connecticut,84
Delaware,84
District of Columbia,58
Florida,64
Georgia,64
Hawaii,58
Idaho,81
Illinois,67
Indiana,82
Iowa,87
Kansas,63
Kentucky,77
Louisiana,69
Maine,97
Maryland,76
Massachusetts,82
Michigan,72
Minnesota,83
Mississippi,75
Missouri,79
Montana,79
Nebraska,75
Nevada,61
New Hampshire,88
New Jersey,69
New Mexico,80
New York,69
North Carolina,74
North Dakota,75
Ohio,77
Oklahoma,72
Oregon,46
Pennsylvania,79
Rhode Island,85
South Carolina,75
South Dakota,92
Tennessee,73
Texas,58
Utah,76
Vermont,100
Virginia,54
Washington,66
West Virginia,87
Wisconsin,77
Wyoming,74
