geoName,agony
Alabama,42
Alaska,46
Arizona,54
Arkansas,51
California,53
Colorado,54
Connecticut,64
Delaware,38
District of Columbia,39
Florida,50
Georgia,46
Hawaii,67
Idaho,85
Illinois,48
Indiana,59
Iowa,55
Kansas,46
Kentucky,56
Louisiana,47
Maine,72
Maryland,53
Massachusetts,54
Michigan,50
Minnesota,53
Mississippi,45
Missouri,55
Montana,71
Nebraska,44
Nevada,60
New Hampshire,72
New Jersey,60
New Mexico,59
New York,48
North Carolina,44
North Dakota,57
Ohio,58
Oklahoma,62
Oregon,47
Pennsylvania,52
Rhode Island,59
South Carolina,39
South Dakota,58
Tennessee,53
Texas,44
Utah,100
Vermont,30
Virginia,44
Washington,55
West Virginia,62
Wisconsin,59
Wyoming,55
