geoName,agony
Alabama,58
Alaska,41
Arizona,54
Arkansas,36
California,56
Colorado,43
Connecticut,49
Delaware,43
District of Columbia,47
Florida,39
Georgia,45
Hawaii,55
Idaho,80
Illinois,47
Indiana,65
Iowa,73
Kansas,68
Kentucky,55
Louisiana,46
Maine,52
Maryland,55
Massachusetts,58
Michigan,49
Minnesota,48
Mississippi,43
Missouri,47
Montana,74
Nebraska,59
Nevada,43
New Hampshire,85
New Jersey,58
New Mexico,49
New York,56
North Carolina,48
North Dakota,18
Ohio,53
Oklahoma,79
Oregon,72
Pennsylvania,54
Rhode Island,45
South Carolina,37
South Dakota,25
Tennessee,48
Texas,38
Utah,82
Vermont,100
Virginia,51
Washington,50
West Virginia,59
Wisconsin,57
Wyoming,20
