date,agony,isPartial
2014-01-05,32,False
2014-01-12,35,False
2014-01-19,26,False
2014-01-26,32,False
2014-02-02,34,False
2014-02-09,67,False
2014-02-16,48,False
2014-02-23,34,False
2014-03-02,32,False
2014-03-09,29,False
2014-03-16,31,False
2014-03-23,34,False
2014-03-30,43,False
2014-04-06,30,False
2014-04-13,32,False
2014-04-20,35,False
2014-04-27,37,False
2014-05-04,40,False
2014-05-11,33,False
2014-05-18,33,False
2014-05-25,32,False
2014-06-01,44,False
2014-06-08,35,False
2014-06-15,38,False
2014-06-22,33,False
2014-06-29,34,False
2014-07-06,33,False
2014-07-13,31,False
2014-07-20,34,False
2014-07-27,33,False
2014-08-03,34,False
2014-08-10,31,False
2014-08-17,33,False
2014-08-24,32,False
2014-08-31,34,False
2014-09-07,33,False
2014-09-14,35,False
2014-09-21,30,False
2014-09-28,31,False
2014-10-05,30,False
2014-10-12,34,False
2014-10-19,38,False
2014-10-26,42,False
2014-11-02,37,False
2014-11-09,32,False
2014-11-16,39,False
2014-11-23,34,False
2014-11-30,38,False
2014-12-07,32,False
2014-12-14,36,False
2014-12-21,49,False
2014-12-28,100,False
