geoName,agony
Alabama,61
Alaska,54
Arizona,67
Arkansas,56
California,57
Colorado,61
Connecticut,69
Delaware,34
District of Columbia,54
Florida,46
Georgia,50
Hawaii,60
Idaho,49
Illinois,58
Indiana,54
Iowa,69
Kansas,51
Kentucky,64
Louisiana,43
Maine,100
Maryland,54
Massachusetts,66
Michigan,55
Minnesota,52
Mississippi,58
Missouri,51
Montana,60
Nebraska,63
Nevada,58
New Hampshire,75
New Jersey,59
New Mexico,76
New York,60
North Carolina,55
North Dakota,49
Ohio,63
Oklahoma,54
Oregon,42
Pennsylvania,63
Rhode Island,68
South Carolina,49
South Dakota,64
Tennessee,58
Texas,55
Utah,86
Vermont,87
Virginia,47
Washington,69
West Virginia,83
Wisconsin,61
Wyoming,70
