date,agony,isPartial
2016-01-03,66,False
2016-01-10,57,False
2016-01-17,61,False
2016-01-24,61,False
2016-01-31,64,False
2016-02-07,58,False
2016-02-14,53,False
2016-02-21,61,False
2016-02-28,61,False
2016-03-06,84,False
2016-03-13,58,False
2016-03-20,65,False
2016-03-27,60,False
2016-04-03,63,False
2016-04-10,55,False
2016-04-17,52,False
2016-04-24,65,False
2016-05-01,56,False
2016-05-08,64,False
2016-05-15,55,False
2016-05-22,59,False
2016-05-29,74,False
2016-06-05,57,False
2016-06-12,56,False
2016-06-19,57,False
2016-06-26,54,False
2016-07-03,63,False
2016-07-10,55,False
2016-07-17,48,False
2016-07-24,51,False
2016-07-31,59,False
2016-08-07,68,False
2016-08-14,61,False
2016-08-21,100,False
2016-08-28,65,False
2016-09-04,51,False
2016-09-11,60,False
2016-09-18,61,False
2016-09-25,73,False
2016-10-02,55,False
2016-10-09,51,False
2016-10-16,51,False
2016-10-23,63,False
2016-10-30,64,False
2016-11-06,55,False
2016-11-13,71,False
2016-11-20,71,False
2016-11-27,71,False
2016-12-04,68,False
2016-12-11,92,False
2016-12-18,66,False
2016-12-25,59,False
