geoName,agony
Alabama,68
Alaska,82
Arizona,68
Arkansas,67
California,66
Colorado,66
Connecticut,60
Delaware,87
District of Columbia,45
Florida,52
Georgia,47
Hawaii,69
Idaho,66
Illinois,60
Indiana,76
Iowa,63
Kansas,90
Kentucky,73
Louisiana,51
Maine,87
Maryland,54
Massachusetts,70
Michigan,60
Minnesota,57
Mississippi,65
Missouri,57
Montana,48
Nebraska,69
Nevada,59
New Hampshire,59
New Jersey,69
New Mexico,50
New York,70
North Carolina,59
North Dakota,73
Ohio,71
Oklahoma,68
Oregon,82
Pennsylvania,68
Rhode Island,42
South Carolina,57
South Dakota,66
Tennessee,72
Texas,50
Utah,75
Vermont,85
Virginia,63
Washington,100
West Virginia,84
Wisconsin,77
Wyoming,60
