date,agony,isPartial
2011-01-02,69,False
2011-01-09,76,False
2011-01-16,63,False
2011-01-23,75,False
2011-01-30,62,False
2011-02-06,50,False
2011-02-13,54,False
2011-02-20,68,False
2011-02-27,62,False
2011-03-06,59,False
2011-03-13,62,False
2011-03-20,60,False
2011-03-27,65,False
2011-04-03,66,False
2011-04-10,56,False
2011-04-17,61,False
2011-04-24,73,False
2011-05-01,77,False
2011-05-08,63,False
2011-05-15,65,False
2011-05-22,61,False
2011-05-29,58,False
2011-06-05,48,False
2011-06-12,48,False
2011-06-19,66,False
2011-06-26,60,False
2011-07-03,56,False
2011-07-10,77,False
2011-07-17,55,False
2011-07-24,71,False
2011-07-31,73,False
2011-08-07,66,False
2011-08-14,55,False
2011-08-21,48,False
2011-08-28,64,False
2011-09-04,62,False
2011-09-11,59,False
2011-09-18,60,False
2011-09-25,53,False
2011-10-02,59,False
2011-10-09,70,False
2011-10-16,68,False
2011-10-23,60,False
2011-10-30,100,False
2011-11-06,55,False
2011-11-13,61,False
2011-11-20,57,False
2011-11-27,57,False
2011-12-04,56,False
2011-12-11,59,False
2011-12-18,63,False
2011-12-25,56,False
