date,agony,isPartial
2012-01-01,100,False
2012-01-08,92,False
2012-01-15,99,False
2012-01-22,80,False
2012-01-29,94,False
2012-02-05,84,False
2012-02-12,92,False
2012-02-19,85,False
2012-02-26,72,False
2012-03-04,86,False
2012-03-11,91,False
2012-03-18,81,False
2012-03-25,73,False
2012-04-01,82,False
2012-04-08,62,False
2012-04-15,71,False
2012-04-22,72,False
2012-04-29,70,False
2012-05-06,86,False
2012-05-13,84,False
2012-05-20,66,False
2012-05-27,69,False
2012-06-03,91,False
2012-06-10,69,False
2012-06-17,70,False
2012-06-24,74,False
2012-07-01,72,False
2012-07-08,71,False
2012-07-15,81,False
2012-07-22,77,False
2012-07-29,71,False
2012-08-05,82,False
2012-08-12,78,False
2012-08-19,63,False
2012-08-26,59,False
2012-09-02,76,False
2012-09-09,65,False
2012-09-16,67,False
2012-09-23,80,False
2012-09-30,73,False
2012-10-07,76,False
2012-10-14,69,False
2012-10-21,60,False
2012-10-28,64,False
2012-11-04,60,False
2012-11-11,77,False
2012-11-18,70,False
2012-11-25,76,False
2012-12-02,75,False
2012-12-09,74,False
2012-12-16,71,False
2012-12-23,74,False
2012-12-30,68,False
