date,blase,isPartial
2016-01-03,100,False
2016-01-10,89,False
2016-01-17,75,False
2016-01-24,81,False
2016-01-31,83,False
2016-02-07,67,False
2016-02-14,69,False
2016-02-21,81,False
2016-02-28,73,False
2016-03-06,64,False
2016-03-13,64,False
2016-03-20,58,False
2016-03-27,61,False
2016-04-03,67,False
2016-04-10,54,False
2016-04-17,54,False
2016-04-24,49,False
2016-05-01,52,False
2016-05-08,56,False
2016-05-15,49,False
2016-05-22,43,False
2016-05-29,48,False
2016-06-05,54,False
2016-06-12,33,False
2016-06-19,58,False
2016-06-26,45,False
2016-07-03,51,False
2016-07-10,34,False
2016-07-17,44,False
2016-07-24,38,False
2016-07-31,39,False
2016-08-07,33,False
2016-08-14,37,False
2016-08-21,40,False
2016-08-28,39,False
2016-09-04,43,False
2016-09-11,40,False
2016-09-18,33,False
2016-09-25,37,False
2016-10-02,40,False
2016-10-09,51,False
2016-10-16,40,False
2016-10-23,46,False
2016-10-30,33,False
2016-11-06,42,False
2016-11-13,50,False
2016-11-20,39,False
2016-11-27,35,False
2016-12-04,30,False
2016-12-11,38,False
2016-12-18,42,False
2016-12-25,33,False
