date,blase,isPartial
2012-01-01,52,False
2012-01-08,38,False
2012-01-15,85,False
2012-01-22,67,False
2012-01-29,100,False
2012-02-05,60,False
2012-02-12,71,False
2012-02-19,91,False
2012-02-26,79,False
2012-03-04,63,False
2012-03-11,64,False
2012-03-18,74,False
2012-03-25,72,False
2012-04-01,48,False
2012-04-08,44,False
2012-04-15,66,False
2012-04-22,59,False
2012-04-29,73,False
2012-05-06,87,False
2012-05-13,49,False
2012-05-20,51,False
2012-05-27,96,False
2012-06-03,62,False
2012-06-10,60,False
2012-06-17,72,False
2012-06-24,66,False
2012-07-01,76,False
2012-07-08,70,False
2012-07-15,66,False
2012-07-22,56,False
2012-07-29,83,False
2012-08-05,59,False
2012-08-12,50,False
2012-08-19,53,False
2012-08-26,65,False
2012-09-02,72,False
2012-09-09,75,False
2012-09-16,77,False
2012-09-23,90,False
2012-09-30,79,False
2012-10-07,63,False
2012-10-14,80,False
2012-10-21,59,False
2012-10-28,78,False
2012-11-04,88,False
2012-11-11,85,False
2012-11-18,39,False
2012-11-25,69,False
2012-12-02,52,False
2012-12-09,78,False
2012-12-16,59,False
2012-12-23,65,False
2012-12-30,66,False
