date,blase,isPartial
2013-01-06,65,False
2013-01-13,79,False
2013-01-20,71,False
2013-01-27,70,False
2013-02-03,72,False
2013-02-10,69,False
2013-02-17,56,False
2013-02-24,83,False
2013-03-03,70,False
2013-03-10,65,False
2013-03-17,66,False
2013-03-24,65,False
2013-03-31,92,False
2013-04-07,71,False
2013-04-14,73,False
2013-04-21,56,False
2013-04-28,87,False
2013-05-05,60,False
2013-05-12,62,False
2013-05-19,64,False
2013-05-26,66,False
2013-06-02,68,False
2013-06-09,65,False
2013-06-16,49,False
2013-06-23,50,False
2013-06-30,55,False
2013-07-07,60,False
2013-07-14,46,False
2013-07-21,100,False
2013-07-28,61,False
2013-08-04,84,False
2013-08-11,71,False
2013-08-18,45,False
2013-08-25,75,False
2013-09-01,60,False
2013-09-08,84,False
2013-09-15,61,False
2013-09-22,64,False
2013-09-29,80,False
2013-10-06,100,False
2013-10-13,77,False
2013-10-20,65,False
2013-10-27,81,False
2013-11-03,80,False
2013-11-10,84,False
2013-11-17,60,False
2013-11-24,65,False
2013-12-01,65,False
2013-12-08,53,False
2013-12-15,56,False
2013-12-22,62,False
2013-12-29,69,False
