geoName,blase
Alabama,24
Alaska,9
Arizona,32
Arkansas,25
California,34
Colorado,20
Connecticut,29
Delaware,30
District of Columbia,29
Florida,23
Georgia,25
Hawaii,21
Idaho,10
Illinois,36
Indiana,19
Iowa,23
Kansas,16
Kentucky,22
Louisiana,21
Maine,24
Maryland,19
Massachusetts,25
Michigan,29
Minnesota,16
Mississippi,15
Missouri,30
Montana,20
Nebraska,100
Nevada,24
New Hampshire,23
New Jersey,32
New Mexico,21
New York,28
North Carolina,23
North Dakota,12
Ohio,24
Oklahoma,23
Oregon,18
Pennsylvania,24
Rhode Island,34
South Carolina,21
South Dakota,27
Tennessee,23
Texas,25
Utah,15
Vermont,7
Virginia,24
Washington,20
West Virginia,10
Wisconsin,17
Wyoming,0
