date,blase,isPartial
2014-01-05,30,False
2014-01-12,30,False
2014-01-19,38,False
2014-01-26,46,False
2014-02-02,43,False
2014-02-09,22,False
2014-02-16,37,False
2014-02-23,42,False
2014-03-02,42,False
2014-03-09,32,False
2014-03-16,34,False
2014-03-23,38,False
2014-03-30,31,False
2014-04-06,49,False
2014-04-13,35,False
2014-04-20,43,False
2014-04-27,50,False
2014-05-04,41,False
2014-05-11,40,False
2014-05-18,37,False
2014-05-25,34,False
2014-06-01,34,False
2014-06-08,52,False
2014-06-15,41,False
2014-06-22,33,False
2014-06-29,48,False
2014-07-06,39,False
2014-07-13,41,False
2014-07-20,41,False
2014-07-27,42,False
2014-08-03,31,False
2014-08-10,21,False
2014-08-17,32,False
2014-08-24,31,False
2014-08-31,38,False
2014-09-07,35,False
2014-09-14,100,False
2014-09-21,78,False
2014-09-28,42,False
2014-10-05,48,False
2014-10-12,57,False
2014-10-19,46,False
2014-10-26,44,False
2014-11-02,37,False
2014-11-09,61,False
2014-11-16,88,False
2014-11-23,47,False
2014-11-30,32,False
2014-12-07,46,False
2014-12-14,35,False
2014-12-21,41,False
2014-12-28,37,False
