geoName,blase
Alabama,18
Alaska,23
Arizona,28
Arkansas,10
California,20
Colorado,12
Connecticut,21
Delaware,11
District of Columbia,23
Florida,20
Georgia,20
Hawaii,33
Idaho,33
Illinois,21
Indiana,20
Iowa,16
Kansas,17
Kentucky,16
Louisiana,15
Maine,20
Maryland,22
Massachusetts,20
Michigan,26
Minnesota,15
Mississippi,16
Missouri,35
Montana,28
Nebraska,100
Nevada,21
New Hampshire,15
New Jersey,23
New Mexico,18
New York,23
North Carolina,18
North Dakota,27
Ohio,21
Oklahoma,19
Oregon,18
Pennsylvania,19
Rhode Island,23
South Carolina,26
South Dakota,7
Tennessee,14
Texas,19
Utah,15
Vermont,19
Virginia,16
Washington,19
West Virginia,15
Wisconsin,15
Wyoming,0
