date,blase,isPartial
2015-01-04,14,False
2015-01-11,19,False
2015-01-18,15,False
2015-01-25,21,False
2015-02-01,23,False
2015-02-08,15,False
2015-02-15,15,False
2015-02-22,16,False
2015-03-01,16,False
2015-03-08,20,False
2015-03-15,17,False
2015-03-22,13,False
2015-03-29,15,False
2015-04-05,16,False
2015-04-12,13,False
2015-04-19,18,False
2015-04-26,18,False
2015-05-03,15,False
2015-05-10,14,False
2015-05-17,12,False
2015-05-24,15,False
2015-05-31,15,False
2015-06-07,13,False
2015-06-14,15,False
2015-06-21,35,False
2015-06-28,52,False
2015-07-05,39,False
2015-07-12,35,False
2015-07-19,33,False
2015-07-26,41,False
2015-08-02,40,False
2015-08-09,49,False
2015-08-16,54,False
2015-08-23,62,False
2015-08-30,69,False
2015-09-06,68,False
2015-09-13,84,False
2015-09-20,85,False
2015-09-27,76,False
2015-10-04,93,False
2015-10-11,87,False
2015-10-18,90,False
2015-10-25,86,False
2015-11-01,100,False
2015-11-08,90,False
2015-11-15,96,False
2015-11-22,90,False
2015-11-29,81,False
2015-12-06,81,False
2015-12-13,74,False
2015-12-20,50,False
2015-12-27,61,False
