geoName,blase
Alabama,24
Alaska,37
Arizona,44
Arkansas,39
California,29
Colorado,18
Connecticut,56
Delaware,37
District of Columbia,32
Florida,26
Georgia,25
Hawaii,13
Idaho,54
Illinois,43
Indiana,25
Iowa,28
Kansas,22
Kentucky,23
Louisiana,34
Maine,22
Maryland,31
Massachusetts,40
Michigan,54
Minnesota,29
Mississippi,18
Missouri,46
Montana,0
Nebraska,100
Nevada,23
New Hampshire,62
New Jersey,34
New Mexico,13
New York,31
North Carolina,23
North Dakota,15
Ohio,30
Oklahoma,31
Oregon,33
Pennsylvania,45
Rhode Island,40
South Carolina,22
South Dakota,31
Tennessee,22
Texas,28
Utah,21
Vermont,55
Virginia,14
Washington,31
West Virginia,25
Wisconsin,21
Wyoming,0
