geoName,youth
Alabama,71
Alaska,80
Arizona,55
Arkansas,65
California,54
Colorado,68
Connecticut,77
Delaware,51
District of Columbia,63
Florida,48
Georgia,52
Hawaii,50
Idaho,90
Illinois,54
Indiana,66
Iowa,69
Kansas,54
Kentucky,64
Louisiana,58
Maine,67
Maryland,61
Massachusetts,93
Michigan,60
Minnesota,100
Mississippi,72
Missouri,62
Montana,80
Nebraska,69
Nevada,48
New Hampshire,74
New Jersey,54
New Mexico,61
New York,54
North Carolina,60
North Dakota,86
Ohio,67
Oklahoma,70
Oregon,44
Pennsylvania,66
Rhode Island,61
South Carolina,56
South Dakota,80
Tennessee,65
Texas,51
Utah,94
Vermont,80
Virginia,50
Washington,65
West Virginia,67
Wisconsin,80
Wyoming,75
