geoName,youth
Alabama,74
Alaska,81
Arizona,57
Arkansas,75
California,51
Colorado,72
Connecticut,76
Delaware,48
District of Columbia,61
Florida,48
Georgia,55
Hawaii,58
Idaho,80
Illinois,55
Indiana,73
Iowa,74
Kansas,66
Kentucky,63
Louisiana,56
Maine,71
Maryland,64
Massachusetts,100
Michigan,59
Minnesota,95
Mississippi,77
Missouri,63
Montana,78
Nebraska,74
Nevada,46
New Hampshire,78
New Jersey,55
New Mexico,60
New York,52
North Carolina,60
North Dakota,86
Ohio,68
Oklahoma,75
Oregon,70
Pennsylvania,70
Rhode Island,65
South Carolina,57
South Dakota,82
Tennessee,66
Texas,52
Utah,82
Vermont,83
Virginia,60
Washington,60
West Virginia,68
Wisconsin,83
Wyoming,78
