geoName,youth
Alabama,73
Alaska,74
Arizona,53
Arkansas,63
California,54
Colorado,66
Connecticut,73
Delaware,51
District of Columbia,66
Florida,48
Georgia,61
Hawaii,57
Idaho,91
Illinois,55
Indiana,64
Iowa,74
Kansas,58
Kentucky,62
Louisiana,57
Maine,67
Maryland,62
Massachusetts,84
Michigan,62
Minnesota,100
Mississippi,74
Missouri,65
Montana,77
Nebraska,76
Nevada,46
New Hampshire,73
New Jersey,56
New Mexico,64
New York,57
North Carolina,57
North Dakota,87
Ohio,65
Oklahoma,76
Oregon,72
Pennsylvania,68
Rhode Island,59
South Carolina,57
South Dakota,88
Tennessee,66
Texas,52
Utah,93
Vermont,72
Virginia,60
Washington,62
West Virginia,69
Wisconsin,80
Wyoming,74
