geoName,youth
Alabama,71
Alaska,77
Arizona,57
Arkansas,74
California,50
Colorado,68
Connecticut,77
Delaware,53
District of Columbia,58
Florida,46
Georgia,54
Hawaii,55
Idaho,79
Illinois,55
Indiana,68
Iowa,68
Kansas,60
Kentucky,62
Louisiana,60
Maine,69
Maryland,64
Massachusetts,100
Michigan,58
Minnesota,87
Mississippi,74
Missouri,62
Montana,78
Nebraska,67
Nevada,47
New Hampshire,77
New Jersey,56
New Mexico,63
New York,51
North Carolina,60
North Dakota,81
Ohio,69
Oklahoma,79
Oregon,70
Pennsylvania,65
Rhode Island,68
South Carolina,57
South Dakota,81
Tennessee,71
Texas,53
Utah,80
Vermont,79
Virginia,61
Washington,62
West Virginia,69
Wisconsin,81
Wyoming,77
