date,upset,isPartial
2016-01-03,60,False
2016-01-10,60,False
2016-01-17,62,False
2016-01-24,60,False
2016-01-31,64,False
2016-02-07,63,False
2016-02-14,63,False
2016-02-21,61,False
2016-02-28,61,False
2016-03-06,62,False
2016-03-13,100,False
2016-03-20,66,False
2016-03-27,60,False
2016-04-03,59,False
2016-04-10,60,False
2016-04-17,59,False
2016-04-24,57,False
2016-05-01,62,False
2016-05-08,59,False
2016-05-15,56,False
2016-05-22,56,False
2016-05-29,53,False
2016-06-05,56,False
2016-06-12,56,False
2016-06-19,57,False
2016-06-26,56,False
2016-07-03,56,False
2016-07-10,54,False
2016-07-17,54,False
2016-07-24,60,False
2016-07-31,55,False
2016-08-07,55,False
2016-08-14,52,False
2016-08-21,56,False
2016-08-28,61,False
2016-09-04,63,False
2016-09-11,60,False
2016-09-18,58,False
2016-09-25,61,False
2016-10-02,62,False
2016-10-09,58,False
2016-10-16,60,False
2016-10-23,59,False
2016-10-30,60,False
2016-11-06,77,False
2016-11-13,69,False
2016-11-20,61,False
2016-11-27,59,False
2016-12-04,56,False
2016-12-11,57,False
2016-12-18,63,False
2016-12-25,67,False
