geoName,upset
Alabama,87
Alaska,58
Arizona,78
Arkansas,78
California,79
Colorado,88
Connecticut,78
Delaware,87
District of Columbia,97
Florida,84
Georgia,87
Hawaii,67
Idaho,90
Illinois,86
Indiana,78
Iowa,89
Kansas,89
Kentucky,90
Louisiana,92
Maine,88
Maryland,86
Massachusetts,91
Michigan,87
Minnesota,90
Mississippi,85
Missouri,89
Montana,70
Nebraska,81
Nevada,77
New Hampshire,84
New Jersey,88
New Mexico,62
New York,97
North Carolina,91
North Dakota,65
Ohio,87
Oklahoma,89
Oregon,75
Pennsylvania,89
Rhode Island,89
South Carolina,84
South Dakota,100
Tennessee,95
Texas,87
Utah,82
Vermont,70
Virginia,93
Washington,83
West Virginia,97
Wisconsin,78
Wyoming,90
